Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.1
Vertical Position,-3.9
,
,
,
Label,
TIME,CH2
-4.97140e-02,-0.532031
-4.97130e-02,-0.530219
-4.97120e-02,-0.530047
-4.97110e-02,-0.531438
-4.97100e-02,-0.531781
-4.97090e-02,-0.530781
-4.97080e-02,-0.529094
-4.97070e-02,-0.53175
-4.97060e-02,-0.531375
-4.97050e-02,-0.529891
-4.97040e-02,-0.530797
-4.97030e-02,-0.532078
-4.97020e-02,-0.530234
-4.97010e-02,-0.531406
-4.97000e-02,-0.531781
-4.96990e-02,-0.531078
-4.96980e-02,-0.531484
-4.96970e-02,-0.531453
-4.96960e-02,-0.531281
-4.96950e-02,-0.530891
-4.96940e-02,-0.53125
-4.96930e-02,-0.530359
-4.96920e-02,-0.532266
-4.96910e-02,-0.530891
-4.96900e-02,-0.531859
-4.96890e-02,-0.531125
-4.96880e-02,-0.531266
-4.96870e-02,-0.531375
-4.96860e-02,-0.529922
-4.96850e-02,-0.531188
-4.96840e-02,-0.530766
-4.96830e-02,-0.53175
-4.96820e-02,-0.533234
-4.96810e-02,-0.530813
-4.96800e-02,-0.531828
-4.96790e-02,-0.5325
-4.96780e-02,-0.531688
-4.96770e-02,-0.531422
-4.96760e-02,-0.530266
-4.96750e-02,-0.532047
-4.96740e-02,-0.530844
-4.96730e-02,-0.530266
-4.96720e-02,-0.529734
-4.96710e-02,-0.531188
-4.96700e-02,-0.530156
-4.96690e-02,-0.532328
-4.96680e-02,-0.531156
-4.96670e-02,-0.530547
-4.96660e-02,-0.531172
-4.96650e-02,-0.530813
-4.96640e-02,-0.533266
-4.96630e-02,-0.532094
-4.96620e-02,-0.529625
-4.96610e-02,-0.531484
-4.96600e-02,-0.53175
-4.96590e-02,-0.530813
